"Periodo","Zonas_metropolitanas_que_cuentan_con_un_Consejo_Consultivo_de_Desarrollo_Metropolitano,_donde_tienen_una_estructura_de_participación_directa_de_la_sociedad_civil_en_la_planificación_y_la_gestión_urbanas_y_funcionan_con_regularidad_y_democráticamente",
"2022","24",
"2021","21",
"2020","20",
"2019","14",
"2018","5",
