"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_18_años_y_más_que_reportó_haber_sido_víctima_de_alguien_que_en_contra_de_su_voluntad_lo(a)_haya_agredido_mediante_hostigamiento_sexual,_manoseo,_exhibicionismo_o_intento_de_violación_o_que_fueron_obligados(as)_mediante_violencia_física_o_amenaza_por_alguien_conocido_o_desconocido_a_tener_una_actividad_sexual_no_deseada","2024","1,496,058","177,534","1,318,524",
"Población_de_18_años_y_más_que_reportó_haber_sido_víctima_de_alguien_que_en_contra_de_su_voluntad_lo(a)_haya_agredido_mediante_hostigamiento_sexual,_manoseo,_exhibicionismo_o_intento_de_violación_o_que_fueron_obligados(as)_mediante_violencia_física_o_amenaza_por_alguien_conocido_o_desconocido_a_tener_una_actividad_sexual_no_deseada","2023","1,312,669","143,145","1,169,524",
"Población_de_18_años_y_más_que_reportó_haber_sido_víctima_de_alguien_que_en_contra_de_su_voluntad_lo(a)_haya_agredido_mediante_hostigamiento_sexual,_manoseo,_exhibicionismo_o_intento_de_violación_o_que_fueron_obligados(as)_mediante_violencia_física_o_amenaza_por_alguien_conocido_o_desconocido_a_tener_una_actividad_sexual_no_deseada","2022","1,273,076","95,546","1,177,530",
"Población_de_18_años_y_más_que_reportó_haber_sido_víctima_de_alguien_que_en_contra_de_su_voluntad_lo(a)_haya_agredido_mediante_hostigamiento_sexual,_manoseo,_exhibicionismo_o_intento_de_violación_o_que_fueron_obligados(as)_mediante_violencia_física_o_amenaza_por_alguien_conocido_o_desconocido_a_tener_una_actividad_sexual_no_deseada","2021","1,320,275","123,835","1,196,440",
"Población_de_18_años_y_más_que_reportó_haber_sido_víctima_de_alguien_que_en_contra_de_su_voluntad_lo(a)_haya_agredido_mediante_hostigamiento_sexual,_manoseo,_exhibicionismo_o_intento_de_violación_o_que_fueron_obligados(as)_mediante_violencia_física_o_amenaza_por_alguien_conocido_o_desconocido_a_tener_una_actividad_sexual_no_deseada","2020","1,078,046","65,675","1,012,371",
"Población_de_18_años_y_más_que_reportó_haber_sido_víctima_de_alguien_que_en_contra_de_su_voluntad_lo(a)_haya_agredido_mediante_hostigamiento_sexual,_manoseo,_exhibicionismo_o_intento_de_violación_o_que_fueron_obligados(as)_mediante_violencia_física_o_amenaza_por_alguien_conocido_o_desconocido_a_tener_una_actividad_sexual_no_deseada","2019","1,269,004","131,614","1,137,390",
"Población_de_18_años_y_más_que_reportó_haber_sido_víctima_de_alguien_que_en_contra_de_su_voluntad_lo(a)_haya_agredido_mediante_hostigamiento_sexual,_manoseo,_exhibicionismo_o_intento_de_violación_o_que_fueron_obligados(as)_mediante_violencia_física_o_amenaza_por_alguien_conocido_o_desconocido_a_tener_una_actividad_sexual_no_deseada","2018","789,269","78,043","711,226",
"Población_de_18_años_y_más_que_reportó_haber_sido_víctima_de_alguien_que_en_contra_de_su_voluntad_lo(a)_haya_agredido_mediante_hostigamiento_sexual,_manoseo,_exhibicionismo_o_intento_de_violación_o_que_fueron_obligados(as)_mediante_violencia_física_o_amenaza_por_alguien_conocido_o_desconocido_a_tener_una_actividad_sexual_no_deseada","2017","780,211","58,415","721,796",
"Población_de_18_años_y_más_que_reportó_haber_sido_víctima_de_alguien_que_en_contra_de_su_voluntad_lo(a)_haya_agredido_mediante_hostigamiento_sexual,_manoseo,_exhibicionismo_o_intento_de_violación_o_que_fueron_obligados(as)_mediante_violencia_física_o_amenaza_por_alguien_conocido_o_desconocido_a_tener_una_actividad_sexual_no_deseada","2016","587,955","65,000","522,955",
"Población_de_18_años_y_más_que_reportó_haber_sido_víctima_de_alguien_que_en_contra_de_su_voluntad_lo(a)_haya_agredido_mediante_hostigamiento_sexual,_manoseo,_exhibicionismo_o_intento_de_violación_o_que_fueron_obligados(as)_mediante_violencia_física_o_amenaza_por_alguien_conocido_o_desconocido_a_tener_una_actividad_sexual_no_deseada","2015","465,144","61,281","403,863",
