"Serie","Periodo","Tipo_de_localidad|Nacional_Mujeres_trabajo_doméstico|Total_(12_años_y_más)","Tipo_de_localidad|Nacional_Mujeres_trabajo_doméstico|De_15_y_más","Tipo_de_localidad|Nacional_Mujeres_trabajo_doméstico|De_15_a_24_años","Tipo_de_localidad|Nacional_Mujeres_trabajo_doméstico|De_25_a_44_años","Tipo_de_localidad|Nacional_Mujeres_trabajo_doméstico|De_45_a_54_años","Tipo_de_localidad|Nacional_Mujeres_trabajo_doméstico|De_55_a_64_años","Tipo_de_localidad|Nacional_Mujeres_trabajo_doméstico|De_65_años_y_más","Tipo_de_localidad|Nacional_Hombres_trabajo_doméstico|Total_(12_años_y_más)","Tipo_de_localidad|Nacional_Hombres_trabajo_doméstico|De_15_y_más","Tipo_de_localidad|Nacional_Hombres_trabajo_doméstico|De_15_a_24_años","Tipo_de_localidad|Nacional_Hombres_trabajo_doméstico|De_25_a_44_años","Tipo_de_localidad|Nacional_Hombres_trabajo_doméstico|De_45_a_54_años","Tipo_de_localidad|Nacional_Hombres_trabajo_doméstico|De_55_a_64_años","Tipo_de_localidad|Nacional_Hombres_trabajo_doméstico|De_65_años_y_más","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Mujeres_trabajo_doméstico|Total_(12_años_y_más)","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Mujeres_trabajo_doméstico|De_15_y_más","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Mujeres_trabajo_doméstico|De_15_a_24_años","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Mujeres_trabajo_doméstico|De_25_a_44_años","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Mujeres_trabajo_doméstico|De_45_a_54_años","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Mujeres_trabajo_doméstico|De_55_a_64_años","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Mujeres_trabajo_doméstico|De_65_años_y_más","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Hombres_trabajo_doméstico|Total_(12_años_y_más)","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Hombres_trabajo_doméstico|De_15_y_más","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Hombres_trabajo_doméstico|De_15_a_24_años","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Hombres_trabajo_doméstico|De_25_a_44_años","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Hombres_trabajo_doméstico|De_45_a_54_años","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Hombres_trabajo_doméstico|De_55_a_64_años","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Hombres_trabajo_doméstico|De_65_años_y_más","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Mujeres_trabajo_doméstico|Total_(12_años_y_más)","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Mujeres_trabajo_doméstico|De_15_y_más","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Mujeres_trabajo_doméstico|De_15_a_24_años","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Mujeres_trabajo_doméstico|De_25_a_44_años","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Mujeres_trabajo_doméstico|De_45_a_54_años","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Mujeres_trabajo_doméstico|De_55_a_64_años","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Mujeres_trabajo_doméstico|De_65_años_y_más","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Hombres_trabajo_doméstico|Total_(12_años_y_más)","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Hombres_trabajo_doméstico|De_15_y_más","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Hombres_trabajo_doméstico|De_15_a_24_años","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Hombres_trabajo_doméstico|De_25_a_44_años","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Hombres_trabajo_doméstico|De_45_a_54_años","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Hombres_trabajo_doméstico|De_55_a_64_años","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Hombres_trabajo_doméstico|De_65_años_y_más",
"Tiempo_dedicado_al_cuidado_no_remunerado","2024","1.613155338","1.680992416","1.445118899","1.992784045","1.34920188","1.475114959","1.193086395","0.801669897","0.833380657","0.569851358","0.966206938","0.806363897","0.860217553","0.892028988","1.598135692","1.660133056","1.356112827","1.962297477","1.348022808","1.551032595","1.247264601","0.804340063","0.835490669","0.559176035","0.968033863","0.81052807","0.894702694","0.873349143","1.665829486","1.755850888","1.715984246","2.10428113","1.353791311","1.168686493","0.988826733","0.79117987","0.824905175","0.610084401","0.958623824","0.789221103","0.71855095","0.961810395",
"Tiempo_dedicado_al_cuidado_no_remunerado","2019","1.922974891","2.004064012","1.90112787","2.282411093","1.593405018","1.748456381","1.496011779","0.901720288","0.939663691","0.677522586","1.068508969","0.912639853","0.99083937","1.016405985","1.898719026","1.97345091","1.848749185","2.25622585","1.558189335","1.769811476","1.49406687","0.899380083","0.935559567","0.675239314","1.072848006","0.884052462","1.029472086","0.931989619","2.001618943","2.105517402","2.050774655","2.368147355","1.731722239","1.663337565","1.502526644","0.909802095","0.954219852","0.684977223","1.053399724","1.028486832","0.825411263","1.289077616",
"Tiempo_dedicado_al_cuidado_no_remunerado","2014","1.845435349","1.936903577","1.758918672","2.189053502","1.577111111","1.74172907","1.551608543","0.842934467","0.882901926","0.630493286","1.021435798","0.848641003","0.884371475","0.984980853","1.858335121","1.943665166","1.710005096","2.203398576","1.603799683","1.841138142","1.546599085","0.856159048","0.894466619","0.625113975","1.039848455","0.857232899","0.889445699","1.03736047","1.800387107","1.912568965","1.910002622","2.136370202","1.465591216","1.3148058","1.568587762","0.794687774","0.839175234","0.650122368","0.95176715","0.81340805","0.862625794","0.824624399",
