"Periodo","Producto_Interno_Bruto_trimestral_anualizado,_a_precios_corrientes,_base_2018",
"2023","31,772,376.92875",
"2022","29,472,734.06775",
"2021","26,690,033.39375",
"2020","24,086,758.13225",
"2019","25,121,823.301",
"2018","24,176,670.3765",
"2017","22,536,210.25525",
"2016","20,758,790.506",
"2015","19,228,614.677",
"2014","18,137,650.612",
"2013","16,954,005.68375",
"2012","16,529,124.0215",
"2011","15,268,436.66675",
"2010","13,968,149.52325",
"2009","12,749,117.92125",
"2008","12,927,761.29025",
"2007","12,046,753.15575",
"2006","11,120,115.76975",
"2005","9,999,598.9615",
"2004","9,248,389.79825",
"2003","8,259,533.14875",
"2002","7,827,757.97175",
"2001","7,437,107.65925",
"2000","7,016,603.9425",
"1999","6,034,995.11625",
"1998","5,092,988.0465",
"1997","4,144,914.16875",
"1996","3,284,161.831",
"1995","2,440,392.36625",
