"Serie","Periodo","último_hijo_nacido_vivo|Total","último_hijo_nacido_vivo|15-19_años","último_hijo_nacido_vivo|20-24_años","último_hijo_nacido_vivo|25-29_años",
"Último_hijo_nacido_vivo_en_el_periodo_de_2013_a_2018,_tenido_a_la_edad_de_15_a_29_años,_que_no_fue_planificado","2023","1,648,200","195,108","693,228","759,864",
"Último_hijo_nacido_vivo_en_el_periodo_de_2013_a_2018,_tenido_a_la_edad_de_15_a_29_años,_que_no_fue_planificado","2018","2,118,043","330,482","892,316","895,245",
"Último_hijo_nacido_vivo_en_el_periodo_de_2013_a_2018,_tenido_a_la_edad_de_15_a_29_años,_que_no_fue_planificado","2014","2,284,224","333,613","1,006,638","943,973",
