"Serie","Periodo","último_hijo_nacido_vivo|Total","último_hijo_nacido_vivo|15-19_años","último_hijo_nacido_vivo|20-24_años","último_hijo_nacido_vivo|25-29_años",
"Último_hijo_nacido_vivo_en_el_periodo_de_2013_a_2018,_tenido_a_la_edad_de_15_a_29_años","2023","3,978,035","403,375","1,576,814","1,997,846",
"Último_hijo_nacido_vivo_en_el_periodo_de_2013_a_2018,_tenido_a_la_edad_de_15_a_29_años","2018","5,079,626","659,497","2,002,405","2,417,724",
"Último_hijo_nacido_vivo_en_el_periodo_de_2013_a_2018,_tenido_a_la_edad_de_15_a_29_años","2014","5,185,785","673,708","2,147,853","2,364,224",
