"Periodo","Crecimiento_de_los_puestos_de_trabajo_ocupados_totales_del_sector_de_la_cultura",
"2024","-0.199",
"2023","-1.14",
"2022","-0.087",
"2021","2.948",
"2020","-12.285",
"2019","-0.724",
"2018","1.028",
"2017","1.18",
"2016","1.342",
"2015","2.102",
"2014","-1.489",
"2013","3.381",
"2012","2.189",
"2011","-1.287",
"2010","-0.682",
"2009","-3.454",
