"Periodo","Puestos_de_trabajo_ocupados_totales_del_sector_de_la_cultura_del_año_t-1",
"2024","1,433,380",
"2023","1,449,904",
"2022","1,451,169",
"2021","1,409,608",
"2020","1,607,025",
"2019","1,618,747",
"2018","1,602,271",
"2017","1,583,589",
"2016","1,562,625",
"2015","1,530,455",
"2014","1,553,594",
"2013","1,502,791",
"2012","1,470,600",
"2011","1,489,771",
"2010","1,499,996",
"2009","1,553,655",
