"Periodo","Total_de_residuos_sólidos_urbanos_recolectados_en_los_municipios_y_demarcaciones_territoriales_con_disposición_final_adecuada",
"2022","71,409,511",
"2020","69,357,401",
"2018","71,124,752",
"2016","71,224,172",
"2014","66,985,756",
"2012","62,135,490",
