"Serie","Periodo","Tam_loc|Urbano_Sexo|Total","Tam_loc|Urbano_Sexo|Hombres","Tam_loc|Urbano_Sexo|Mujeres","Tam_loc|Rural_Sexo|Total","Tam_loc|Rural_Sexo|Hombres","Tam_loc|Rural_Sexo|Mujeres",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_por_tamaño_de_localidad","2019","63.39","61.83","64.78","63.24","61.12","65.11",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_por_tamaño_de_localidad","2014","61.42","60.03","62.62","61.38","59.86","62.72",
