"Serie","Periodo","Tam_loc|Urbano_Sexo|Total","Tam_loc|Urbano_Sexo|Hombres","Tam_loc|Urbano_Sexo|Mujeres","Tam_loc|Rural_Sexo|Total","Tam_loc|Rural_Sexo|Hombres","Tam_loc|Rural_Sexo|Mujeres",
"Tiempo_de_trabajo_no_remunerado","2019","29.12","16.75","40.16","33.81","17.46","48.23",
"Tiempo_de_trabajo_no_remunerado","2014","27.82","14.5","39.27","33.03","16.19","47.82",
