"Serie","Periodo","Tam_loc|Urbano_Sexo|Total","Tam_loc|Urbano_Sexo|Hombres","Tam_loc|Urbano_Sexo|Mujeres","Tam_loc|Rural_Sexo|Total","Tam_loc|Rural_Sexo|Hombres","Tam_loc|Rural_Sexo|Mujeres",
"Tiempo_de_trabajo_remunerado","2019","34.27","45.08","24.62","29.43","43.66","16.88",
"Tiempo_de_trabajo_remunerado","2014","33.61","45.53","23.35","28.35","43.67","14.91",
