"Serie","Periodo","Tam_loc|Urbano_Sexo|Total","Tam_loc|Urbano_Sexo|Hombres","Tam_loc|Urbano_Sexo|Mujeres","Tam_loc|Rural_Sexo|Total","Tam_loc|Rural_Sexo|Hombres","Tam_loc|Rural_Sexo|Mujeres",
"Total_de_personas_que_declararon_haber_realizado_algún_tipo_de_trabajo_(remunerado_y/o_no_remunerado)","2019","62,727,468","29,581,864","33,145,604","30,711,214","14,394,757","16,316,457",
"Total_de_personas_que_declararon_haber_realizado_algún_tipo_de_trabajo_(remunerado_y/o_no_remunerado)","2014","56,692,125","26,205,280","30,486,845","28,664,332","13,400,128","15,264,204",
