"Periodo","Porcentaje_de_participación_de_las_energías_limpias_en_la_matriz_de_generación_de_energía_eléctrica",
"2024","23.3962049928329",
"2023","24.32",
"2022","31.1614285053905",
"2021","29.1374153373316",
"2020","26.5704812620704",
"2019","22.2284991294043",
"2018","22.4739873693158",
