"Serie","Periodo","hablantes_lengua_indígena|Total","hablantes_lengua_indígena|Hombres","hablantes_lengua_indígena|Mujeres",
"Tiempo_de_trabajo_remunerado","2019","28.7","44.1","15.4",
"Tiempo_de_trabajo_remunerado","2014","26.2","41.9","11.9",
