"Serie","Periodo","hablantes_lengua_indígena|Total","hablantes_lengua_indígena|Hombres","hablantes_lengua_indígena|Mujeres",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_hablantes_de_lengua_indígena","2019","65","62.76","66.95",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_hablantes_de_lengua_indígena","2014","62.55","58.66","66.07",
