"Serie","Periodo","hablantes_lengua_indígena|Total","hablantes_lengua_indígena|Hombres","hablantes_lengua_indígena|Mujeres",
"Tiempo_de_trabajo_no_remunerado","2019","36.3","18.7","51.6",
"Tiempo_de_trabajo_no_remunerado","2014","36.4","16.7","54.1",
