"Serie","Periodo","hablantes_lengua_indígena|Total","hablantes_lengua_indígena|Hombres","hablantes_lengua_indígena|Mujeres",
"Total_de_personas_que_declararon_haber_realizado_algún_tipo_de_trabajo_(remunerado_y/o_no_remunerado)","2019","6,298,818","2,931,809","3,367,009",
"Total_de_personas_que_declararon_haber_realizado_algún_tipo_de_trabajo_(remunerado_y/o_no_remunerado)","2014","4,573,947","2,171,832","2,402,115",
