"Periodo","Capacidad_total_instalada_por_generación_distribuida",
"2024","33.2551732399006",
"2023","27.8936805821524",
"2022","28.8110508140109",
"2021","31.6233766233766",
"2020","43.1226765799257",
"2019","56.1683599419448",
"2018","51.4285714285714",
"2017","86.4754098360656",
"2016","114.035087719298",
"2015","96.551724137931",
"2014","114.814814814815",
"2013","107.692307692308",
"2012","282.352941176471",
"2011","325",
"2010","700",
