"Serie","Periodo","Segmento_de_la_población|40%_Mas_pobre_de_la_población_Desglose_poblacional|Nacional","Segmento_de_la_población|40%_Mas_pobre_de_la_población_Desglose_poblacional|Población_rural","Segmento_de_la_población|40%_Mas_pobre_de_la_población_Desglose_poblacional|Población_urbana","Segmento_de_la_población|40%_Mas_pobre_de_la_población_Desglose_poblacional|Hombres","Segmento_de_la_población|40%_Mas_pobre_de_la_población_Desglose_poblacional|Mujeres","Segmento_de_la_población|40%_Mas_pobre_de_la_población_Desglose_poblacional|Niñas,_niños_y_adolescentes_(0_a_17_años)","Segmento_de_la_población|40%_Mas_pobre_de_la_población_Desglose_poblacional|Jóvenes_(18_a_29_años)","Segmento_de_la_población|40%_Mas_pobre_de_la_población_Desglose_poblacional|Personas_adultas_(30_a_64_años)","Segmento_de_la_población|40%_Mas_pobre_de_la_población_Desglose_poblacional|Personas_adultas_mayores_(65_años_o_más)","Segmento_de_la_población|40%_Mas_pobre_de_la_población_Desglose_poblacional|Personas_con_discapacidad","Segmento_de_la_población|40%_Mas_pobre_de_la_población_Desglose_poblacional|Personas_indígenas","Segmento_de_la_población|Población_total_Desglose_poblacional|Nacional","Segmento_de_la_población|Población_total_Desglose_poblacional|Población_rural","Segmento_de_la_población|Población_total_Desglose_poblacional|Población_urbana","Segmento_de_la_población|Población_total_Desglose_poblacional|Hombres","Segmento_de_la_población|Población_total_Desglose_poblacional|Mujeres","Segmento_de_la_población|Población_total_Desglose_poblacional|Niñas,_niños_y_adolescentes_(0_a_17_años)","Segmento_de_la_población|Población_total_Desglose_poblacional|Jóvenes_(18_a_29_años)","Segmento_de_la_población|Población_total_Desglose_poblacional|Personas_adultas_(30_a_64_años)","Segmento_de_la_población|Población_total_Desglose_poblacional|Personas_adultas_mayores_(65_años_o_más)","Segmento_de_la_población|Población_total_Desglose_poblacional|Personas_con_discapacidad","Segmento_de_la_población|Población_total_Desglose_poblacional|Personas_indígenas",
"Ingreso_promedio_per_cápita_de_las_personas","2022","2,326.180631","2,081.553692","2,479.162337","2,328.047515","2,324.521655","2,252.375291","2,400.485365","2,346.653265","2,407.331045","2,317.334711","1,921.639216","6,003.8882","3,953.9579","6,674.333826","6,171.369829","5,849.669081","4,666.609332","6,045.748692","6,683.17957","6,909.685344","5,320.438809","3,385.388083",
"Ingreso_promedio_per_cápita_de_las_personas","2020","1,874.45462","1,687.928241","1,975.831826","1,876.845515","1,872.287256","1,828.039583","1,910.453297","1,888.931032","1,935.274359","1,875.642614","1,526.092217","5,181.711503","3,368.621572","5,725.632168","5,291.011618","5,079.417537","4,096.372634","5,192.203358","5,724.912657","6,113.446702","4,559.910846","2,801.910536",
"Ingreso_promedio_per_cápita_de_las_personas","2018","2,001.438337","1,738.999","2,176.197465","1,999.306656","2,003.384057","1,956.194352","2,051.953384","2,039.791531","1,947.326045","ND","1,566.574564","5,564.433613","3,256.702281","6,309.04384","5,674.51908","5,460.543524","4,410.326729","5,710.872589","6,352.784183","5,722.06547","ND","3,034.312699",
