"Serie","Periodo","Edades_(18_a_70_años)|Total","Edades_(18_a_70_años)|18_a_29_años","Edades_(18_a_70_años)|30_a_49_años","Edades_(18_a_70_años)|50_a_70_años",
"Población_de_18_a_70_años_que_tiene_una_cuenta_en_el_banco_u_otra_institución_financiera","2024","66,299,953","16,885,863","29,049,844","20,364,246",
"Población_de_18_a_70_años_que_tiene_una_cuenta_en_el_banco_u_otra_institución_financiera","2021","56,723,851","15,897,783","25,412,392","15,413,676",
"Población_de_18_a_70_años_que_tiene_una_cuenta_en_el_banco_u_otra_institución_financiera","2018","54,040,320","14,041,494","25,317,460","14,681,366",
"Población_de_18_a_70_años_que_tiene_una_cuenta_en_el_banco_u_otra_institución_financiera","2015","52,081,650","14,117,579","25,706,857","12,257,214",
