"Serie","Periodo","Sexo|Total_Estimación|Estimación_puntual","Sexo|Total_Estimación|Límite_inferior","Sexo|Total_Estimación|Límite_superior","Sexo|Hombres_Estimación|Estimación_puntual","Sexo|Hombres_Estimación|Límite_inferior","Sexo|Hombres_Estimación|Límite_superior","Sexo|Mujeres_Estimación|Estimación_puntual","Sexo|Mujeres_Estimación|Límite_inferior","Sexo|Mujeres_Estimación|Límite_superior",
"Total_de_la_población_no_infectada","2024","134,241,792","134,241,792","134,241,800","66,040,312","66,040,312","66,040,316","68,201,472","68,201,472","68,201,472",
"Total_de_la_población_no_infectada","2023","132,996,088","132,996,088","132,996,088","65,418,384","65,418,384","65,418,388","67,577,712","67,577,712","67,577,716",
"Total_de_la_población_no_infectada","2022","131,719,448","131,719,448","131,719,456","64,781,764","64,781,760","64,781,764","66,937,688","66,937,688","66,937,692",
"Total_de_la_población_no_infectada","2021","130,789,184","130,789,184","130,789,184","64,288,524","64,288,520","64,288,524","66,500,664","66,500,664","66,500,664",
"Total_de_la_población_no_infectada","2020","129,985,872","129,985,872","129,985,872","63,947,664","63,947,660","63,947,664","66,038,204","66,038,204","66,038,204",
"Total_de_la_población_no_infectada","2019","128,844,832","128,844,824","128,844,832","63,463,864","63,463,864","63,463,864","65,380,968","65,380,968","65,380,972",
"Total_de_la_población_no_infectada","2018","127,546,288","127,546,280","127,546,288","62,819,964","62,819,964","62,819,964","64,726,328","64,726,328","64,726,332",
"Total_de_la_población_no_infectada","2017","126,254,520","126,254,512","126,254,520","62,172,072","62,172,072","62,172,072","64,082,448","64,082,448","64,082,452",
"Total_de_la_población_no_infectada","2016","125,007,960","125,007,951","125,007,960","61,538,120","61,538,120","61,538,124","63,469,840","63,469,840","63,469,844",
"Total_de_la_población_no_infectada","2015","123,699,488","123,699,488","123,699,488","60,890,772","60,890,772","60,890,776","62,808,716","62,808,712","62,808,716",
"Total_de_la_población_no_infectada","2014","122,286,328","122,286,328","122,286,337","60,195,344","60,195,344","60,195,348","62,090,980","62,090,980","62,090,984",
"Total_de_la_población_no_infectada","2013","120,728,088","120,728,088","120,728,088","59,436,308","59,436,308","59,436,312","61,291,780","61,291,776","61,291,780",
"Total_de_la_población_no_infectada","2012","119,120,592","119,120,584","119,120,592","58,633,456","58,633,452","58,633,456","60,487,136","60,487,132","60,487,136",
"Total_de_la_población_no_infectada","2011","117,842,736","117,842,728","117,842,736","57,785,292","57,785,288","57,785,292","60,057,448","60,057,444","60,057,448",
"Total_de_la_población_no_infectada","2010","116,090,560","116,090,560","116,090,560","56,897,868","56,897,864","56,897,868","59,192,688","59,192,688","59,192,688",
"Total_de_la_población_no_infectada","2009","114,311,136","114,311,136","114,311,144","55,998,300","55,998,296","55,998,300","58,312,832","58,312,832","58,312,836",
"Total_de_la_población_no_infectada","2008","112,509,296","112,509,296","112,509,296","55,095,100","55,095,096","55,095,100","57,414,200","57,414,196","57,414,200",
"Total_de_la_población_no_infectada","2007","110,725,880","110,725,872","110,725,880","54,254,816","54,254,816","54,254,820","56,471,068","56,471,068","56,471,068",
"Total_de_la_población_no_infectada","2006","109,027,112","109,027,112","109,027,112","53,501,684","53,501,684","53,501,684","55,525,432","55,525,428","55,525,432",
"Total_de_la_población_no_infectada","2005","107,469,816","107,469,816","107,469,816","52,820,856","52,820,852","52,820,856","54,648,964","54,648,960","54,648,964",
"Total_de_la_población_no_infectada","2004","106,028,896","106,028,896","106,028,904","52,187,040","52,187,040","52,187,040","53,841,860","53,841,860","53,841,860",
"Total_de_la_población_no_infectada","2003","104,606,720","104,606,720","104,606,720","51,539,900","51,539,900","51,539,900","53,066,820","53,066,816","53,066,820",
"Total_de_la_población_no_infectada","2002","103,148,256","103,148,256","103,148,264","50,853,768","50,853,764","50,853,768","52,294,492","52,294,492","52,294,492",
"Total_de_la_población_no_infectada","2001","101,682,840","101,682,840","101,682,840","50,151,272","50,151,268","50,151,272","51,531,568","51,531,568","51,531,572",
"Total_de_la_población_no_infectada","2000","100,277,080","100,277,080","100,277,088","49,486,484","49,486,484","49,486,484","50,790,600","50,790,596","50,790,600",
"Total_de_la_población_no_infectada","1999","98,962,928","98,962,928","98,962,928","48,888,076","48,888,076","48,888,076","50,074,852","50,074,852","50,074,852",
"Total_de_la_población_no_infectada","1998","97,650,352","97,650,352","97,650,352","48,296,556","48,296,556","48,296,556","49,353,800","49,353,800","49,353,800",
"Total_de_la_población_no_infectada","1997","96,265,808","96,265,800","96,265,808","47,654,660","47,654,660","47,654,660","48,611,148","48,611,148","48,611,148",
"Total_de_la_población_no_infectada","1996","94,812,792","94,812,792","94,812,792","46,965,212","46,965,212","46,965,212","47,847,584","47,847,584","47,847,584",
"Total_de_la_población_no_infectada","1995","93,294,784","93,294,784","93,294,784","46,233,468","46,233,468","46,233,468","47,061,320","47,061,320","47,061,320",
"Total_de_la_población_no_infectada","1994","91,721,368","91,721,360","91,721,368","45,468,028","45,468,028","45,468,028","46,253,336","46,253,336","46,253,340",
"Total_de_la_población_no_infectada","1993","90,110,656","90,110,656","90,110,656","44,680,296","44,680,296","44,680,296","45,430,360","45,430,360","45,430,360",
"Total_de_la_población_no_infectada","1992","88,476,232","88,476,232","88,476,232","43,879,348","43,879,348","43,879,348","44,596,884","44,596,884","44,596,884",
"Total_de_la_población_no_infectada","1991","86,826,384","86,826,384","86,826,384","43,071,048","43,071,048","43,071,048","43,755,336","43,755,336","43,755,340",
