"Serie","Periodo","Tipo_de_localidad|Nacional_Condición_de_embarazo|Total","Tipo_de_localidad|Nacional_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Nacional_Condición_de_embarazo|No_embarazadas","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|Total","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|No_embarazadas","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|Total","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|No_embarazadas",
"Total_de_mujeres","2024","33,371,941","532,540","32,839,401","26,643,328","176,405","26,466,923","6,728,613","356,135","6,372,478",
"Total_de_mujeres","2023","35,600,298","567,426","35,032,872","27,476,605","438,275","27,038,330","8,123,693","ND","7,994,542",
"Total_de_mujeres","2022","34,293,858","960,010","33,333,848","27,486,164","738,277","26,747,887","6,807,694","221,734","6,585,960",
