"Periodo","Total_de_las_subvenciones_de_asistencia_oficial_para_el_desarrollo_de_todos_los_donantes_que_se_centran_en_la_reducción_de_la_pobreza_como_porcentaje_del_ingreso_nacional_bruto_del_país_receptor",
"2021","4.67958343904303",
"2020","5.05557751523323",
"2019","3.64675393729141",
"2018","3.84474170182281",
