"Serie","Periodo","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Tipo_de_violencia|No_especificado","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|De_15_a_17_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_15_a_17_años_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_15_a_17_años_Tipo_de_violencia|No_especificado","Grupo_de_edad|De_15_a_17_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|De_15_a_17_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_15_a_17_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|De_18_a_19_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_18_a_19_años_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_18_a_19_años_Tipo_de_violencia|No_especificado","Grupo_de_edad|De_18_a_19_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|De_18_a_19_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_18_a_19_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|De_20_a_24_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_20_a_24_años_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_20_a_24_años_Tipo_de_violencia|No_especificado","Grupo_de_edad|De_20_a_24_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|De_20_a_24_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_20_a_24_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|De_25_a_29_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_25_a_29_años_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_25_a_29_años_Tipo_de_violencia|No_especificado","Grupo_de_edad|De_25_a_29_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|De_25_a_29_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_25_a_29_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|De_30_a_34_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_30_a_34_años_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_30_a_34_años_Tipo_de_violencia|No_especificado","Grupo_de_edad|De_30_a_34_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|De_30_a_34_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_30_a_34_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|De_35_a_39_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_35_a_39_años_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_35_a_39_años_Tipo_de_violencia|No_especificado","Grupo_de_edad|De_35_a_39_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|De_35_a_39_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_35_a_39_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|De_40_a_44_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_40_a_44_años_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_40_a_44_años_Tipo_de_violencia|No_especificado","Grupo_de_edad|De_40_a_44_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|De_40_a_44_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_40_a_44_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|De_45_a_49_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_45_a_49_años_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_45_a_49_años_Tipo_de_violencia|No_especificado","Grupo_de_edad|De_45_a_49_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|De_45_a_49_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_45_a_49_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|De_50_a_54_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_50_a_54_años_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_50_a_54_años_Tipo_de_violencia|No_especificado","Grupo_de_edad|De_50_a_54_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|De_50_a_54_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_50_a_54_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|De_55_a_59_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_55_a_59_años_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_55_a_59_años_Tipo_de_violencia|No_especificado","Grupo_de_edad|De_55_a_59_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|De_55_a_59_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_55_a_59_años_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|De_60_años_y_más_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_60_años_y_más_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|De_60_años_y_más_Tipo_de_violencia|No_especificado","Grupo_de_edad|De_60_años_y_más_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|De_60_años_y_más_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_60_años_y_más_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional","Grupo_de_edad|No_especificado_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|No_especificado_Tipo_de_violencia|Sin_al_menos_un_incidente_de_violencia_física,_sexual_o_emocional","Grupo_de_edad|No_especificado_Tipo_de_violencia|No_especificado","Grupo_de_edad|No_especificado_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_física","Grupo_de_edad|No_especificado_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|No_especificado_Tipo_de_violencia|Con_al_menos_un_incidente_de_violencia_emocional",
"Mujeres_que_han_tenido_pareja","2021","31,054,823","31,054,823","31,054,823","31,054,823","31,054,823","31,054,823","1,752,423","1,752,423","1,752,423","1,752,423","1,752,423","1,752,423","1,660,888","1,660,888","1,660,888","1,660,888","1,660,888","1,660,888","4,763,359","4,763,359","4,763,359","4,763,359","4,763,359","4,763,359","4,811,358","4,811,358","4,811,358","4,811,358","4,811,358","4,811,358","4,743,969","4,743,969","4,743,969","4,743,969","4,743,969","4,743,969","4,505,604","4,505,604","4,505,604","4,505,604","4,505,604","4,505,604","4,541,085","4,541,085","4,541,085","4,541,085","4,541,085","4,541,085","4,276,137","4,276,137","4,276,137","4,276,137","4,276,137","4,276,137","4,046,144","4,046,144","4,046,144","4,046,144","4,046,144","4,046,144","3,359,488","3,359,488","3,359,488","3,359,488","3,359,488","3,359,488","8,857,331","8,857,331","8,857,331","8,857,331","8,857,331","8,857,331","31,727","31,727","31,727","31,727","31,727","31,727",
"Mujeres_que_han_tenido_pareja","2016","30,189,840","30,189,840","30,189,840","30,189,840","30,189,840","30,189,840","2,065,765","2,065,765","2,065,765","2,065,765","2,065,765","2,065,765","1,711,750","1,711,750","1,711,750","1,711,750","1,711,750","1,711,750","4,636,272","4,636,272","4,636,272","4,636,272","4,636,272","4,636,272","4,495,386","4,495,386","4,495,386","4,495,386","4,495,386","4,495,386","4,478,550","4,478,550","4,478,550","4,478,550","4,478,550","4,478,550","4,495,525","4,495,525","4,495,525","4,495,525","4,495,525","4,495,525","4,462,025","4,462,025","4,462,025","4,462,025","4,462,025","4,462,025","3,844,567","3,844,567","3,844,567","3,844,567","3,844,567","3,844,567","3,547,645","3,547,645","3,547,645","3,547,645","3,547,645","3,547,645","2,783,398","2,783,398","2,783,398","2,783,398","2,783,398","2,783,398","6,852,807","6,852,807","6,852,807","6,852,807","6,852,807","6,852,807","90,830","90,830","90,830","90,830","90,830","90,830",
"Mujeres_que_han_tenido_pareja","2011","28,731,962","28,731,962","28,731,962","28,731,962","28,731,962","28,731,962","2,126,926","2,126,926","2,126,926","2,126,926","2,126,926","2,126,926","1,849,057","1,849,057","1,849,057","1,849,057","1,849,057","1,849,057","4,530,500","4,530,500","4,530,500","4,530,500","4,530,500","4,530,500","4,277,075","4,277,075","4,277,075","4,277,075","4,277,075","4,277,075","4,174,697","4,174,697","4,174,697","4,174,697","4,174,697","4,174,697","4,365,213","4,365,213","4,365,213","4,365,213","4,365,213","4,365,213","3,912,267","3,912,267","3,912,267","3,912,267","3,912,267","3,912,267","3,496,227","3,496,227","3,496,227","3,496,227","3,496,227","3,496,227","2,947,910","2,947,910","2,947,910","2,947,910","2,947,910","2,947,910","2,378,405","2,378,405","2,378,405","2,378,405","2,378,405","2,378,405","5,704,283","5,704,283","5,704,283","5,704,283","5,704,283","5,704,283","63,824","63,824","63,824","63,824","63,824","63,824",
