"Periodo","Superficie_total_de_las_cuencas/sub-cuencas_transfronterizas_de_ríos_y_lagos_que_son_objeto_de_acuerdos_operativos_dentro_del_territorio_del_país__(en km2)",
"2023","238,627.982",
"2020","238,627.982",
