"Serie","Periodo","Tipo_de_localidad|Nacional_Condición_de_embarazo|Total","Tipo_de_localidad|Nacional_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Nacional_Condición_de_embarazo|No_embarazadas","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|Total","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|No_embarazadas","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|Total","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|No_embarazadas",
"Total_de_mujeres","2024","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Total_de_mujeres","2018","35,735,241","1,216,997","34,518,244","28,069,319","874,774","27,194,545","7,665,922","342,223","7,323,699",
"Total_de_mujeres","2012","31,346,152","1,174,617","30,171,535","24,453,323","869,695","23,583,628","6,892,829","304,922","6,587,907",
"Total_de_mujeres","2006","30,038,520","854,946","29,183,574","23,586,491","653,723","22,932,768","6,452,029","201,223","6,250,806",
