"Serie","Periodo","Tipo_de_localidad|Nacional_Condición_de_embarazo|Total","Tipo_de_localidad|Nacional_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Nacional_Condición_de_embarazo|No_embarazadas","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|Total","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Urbano_(localidades_de_2_500_y_más_habitantes)_Condición_de_embarazo|No_embarazadas","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|Total","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|Embarazadas","Tipo_de_localidad|Rural_(localidades_menores_a_2_500_habitantes)_Condición_de_embarazo|No_embarazadas",
"Total_de_mujeres_con_anemia","2024","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Total_de_mujeres_con_anemia","2018","6,477,207","424,131","6,053,076","5,065,285","279,948","4,785,337","1,411,922","144,183","1,267,739",
"Total_de_mujeres_con_anemia","2012","3,846,679","210,591","3,636,088","2,951,271","148,146","2,803,125","895,408","62,445","832,963",
"Total_de_mujeres_con_anemia","2006","5,183,982","207,156","4,976,826","4,032,997","163,829","3,869,168","1,150,985","43,327","1,107,658",
