"Serie","Periodo","Desarrollo_adecuado_Niños_Niñas|Total","Desarrollo_adecuado_Niños_Niñas|Niños","Desarrollo_adecuado_Niños_Niñas|Niñas","Desarrollo_adecuado_Niños_Niñas|Urbano","Desarrollo_adecuado_Niños_Niñas|Rural",
"Número_total_de_niños_de_24_a_59_meses","2024","6,380,400","3,211,500","3,168,900","4,914,700","1,465,700",
"Número_total_de_niños_de_24_a_59_meses","2023","6,418,100","3,217,600","3,200,500","4,687,100","1,731,000",
"Número_total_de_niños_de_24_a_59_meses","2022","6,630,600","3,248,600","3,382,000","5,034,600","1,596,000",
"Número_total_de_niños_de_24_a_59_meses","2021","6,882,501","3,478,483","3,404,018","5,137,890","1,744,611",
