"Serie","Periodo","Desarrollo_adecuado_Niños_Niñas|Total","Desarrollo_adecuado_Niños_Niñas|Niños","Desarrollo_adecuado_Niños_Niñas|Niñas","Desarrollo_adecuado_Niños_Niñas|Urbano","Desarrollo_adecuado_Niños_Niñas|Rural",
"Número_de_niños_de_24_a_59_meses_cuyo_desarrollo_es_adecuado_en_cuanto_a_la_salud,_el_aprendizaje_y_el_bienestar_psicosocial","2024","5,178,500","2,423,900","2,754,600","3,975,300","1,203,200",
"Número_de_niños_de_24_a_59_meses_cuyo_desarrollo_es_adecuado_en_cuanto_a_la_salud,_el_aprendizaje_y_el_bienestar_psicosocial","2023","5,103,700","2,466,800","2,636,900","3,802,300","1,301,400",
"Número_de_niños_de_24_a_59_meses_cuyo_desarrollo_es_adecuado_en_cuanto_a_la_salud,_el_aprendizaje_y_el_bienestar_psicosocial","2022","5,348,900","2,524,600","2,824,300","4,038,700","1,310,200",
"Número_de_niños_de_24_a_59_meses_cuyo_desarrollo_es_adecuado_en_cuanto_a_la_salud,_el_aprendizaje_y_el_bienestar_psicosocial","2021","5,610,700","2,717,604","2,893,096","4,233,990","1,376,709",
