"Periodo","Gasto_ejercido_correspondiente_a_las_funciones_de_salud",
"2020","654,853.750486801",
"2019","581,544.022949491",
"2018","567,145.99677438",
"2017","545,957.2",
"2016","515,678.598510724",
"2015","499,919.75813478",
"2014","472,970.7813755",
"2013","448,805.976087584",
"2012","439,020.013945945",
"2011","400,369.747708002",
"2010","356,223.577309126",
"2009","333,826.375879555",
"2008","293,766.783408657",
"2007","276,650.545353007",
"2006","247,208.193202688",
